flow_asset,level,dragon,intro,progress_dialogs,idle_dialogs,nag_dialogs,phone,outro,jerkoff_dialog,cum_dialog,mount_start,mount_finish,spawn_flag,set_flags,end_flags,weather,player_spawn
LevelFlow,0,Ryan,Ryan_1_intro,Ryan_1_required,,Ryan_1_nag,Ryan_1_PhoneTutorial,Ryan_1_Outro,ryan_jerk_off_no,,ryan_mount_no,,,level_1,level_1_complete,Sunny,
LevelFlow,1,Conrad,Conrad_Intro_1,Conrad_required_1,,,,Conrad_Outro_1,Conrad_1_JerkOff_Start,Conrad_1_Cum,conrad_mount_no,,,,,Sunny,level_2_spawn
LevelFlow,2,Alexander,Alexander_1_intro,Alexander_1_required,,,,Alexander_1_Outro,alexander_jerk_off_no,,alexander_mount_no,,,,,Sunny,level_3_spawn
LevelFlow,3,Ryan,Ryan_2_intro,Ryan_2_required,,,,Ryan_2_Outro,ryan_jerk_off_no,,ryan_mount_no,,,,,Sunny,level_4_spawn
LevelFlow,4,Conrad,Conrad_Intro_2,Conrad_required_2,,,,Conrad_Outro_2,conrad_jerk_off_no,,conrad_mount_no,,,level_5,MedkitCompleted | level_5_complete,Rainy,level_5_spawn
LevelFlow,5,Alexander,Alexander_2_intro,Alexander_2_required,,,,Alexander_2_Outro,alexander_jerk_off_no,,alexander_mount_no,,,level_6_started,,Night,level_6_spawn
LevelFlow,6,Ryan,Ryan_3_intro,Ryan_3_required,,,,Ryan_3_Outro,ryan_jerk_off_no,,ryan_mount_no,,,,,Sunny,level_7_spawn
LevelFlow,7,Conrad,Conrad_Intro_3,,Conrad_idle_3_1 | Conrad_idle_3_2,,Conrad_3_PhoneTutorial,Conrad_Outro_3,Conrad_started_jerkoff_3,Conrad_finished_jerkoff_3,Conrad_placed_mount_3,Conrad_finished_mount_3,PlacedMount,DeliveredMountFrame,,Sunny,level_8_spawn
LevelFlow,8,Alexander,Alexander_3_intro,Alexander_3_required,,,,Alexander_3_Outro,Alexander_3_JerkOff_Start,Alexander_3_Cum,alexander_mount_no,,,,,Sunny,level_9_spawn
LevelFlow,9,Ryan,Ryan_4_intro,,,,,,Ryan_4_JerkOff_Start,Ryan_4_Cum,Ryan_4_Mount_Start,Ryan_4_Mount_Finish,,,PicnicCompleted,Sunny,level_10_spawn
LevelFlow,10,Conrad,Conrad_Intro_4,Conrad_required_4,,,,Conrad_Outro_4,Conrad_4_JerkOff_Start,Conrad_4_Cum,Conrad_4_Mount_Start,Conrad_4_Mount_Finish,,,,Sunny,level_11_spawn
LevelFlow,11,Alexander,Alexander_4_intro,Alexander_4_required,,,,Alexander_4_Outro,Alexander_4_JerkOff_Start,Alexander_4_Cum,Alexander_4_Mount_Start,Alexander_4_Mount_Finish,,,,Rainy,level_12_spawn
LevelFlow,12,Ryan,Ryan_5_intro,Ryan_5_Required,,,,Ryan_5_Outro,Ryan_5_JerkOff_Start,Ryan_5_Cum,Ryan_5_Mount_Start,Ryan_5_Mount_Finish,,,,Sunny,level_13_spawn
LevelFlow,13,Conrad,Conrad_Intro_5,Conrad_required_5,,,,Conrad_Outro_5,Conrad_5_JerkOff_Start,Conrad_5_Cum,Conrad_4_Mount_Start,Conrad_4_Mount_Finish,,,,Night,level_14_spawn
LevelFlow,14,Alexander,Alexander_5_intro,Alexander_5_required,,,,Alexander_5_Outro,Alexander_5_JerkOff_Start,Alexander_5_Cum,Alexander_5_Mount_Start,Alexander_5_Mount_Finish,,,,Sunny,
