section,phase,node,order,line_id,key,speaker,condition,norm,fp,nlen
L01 Ryan,intro,Ryan_1_intro,1,line:a8779ebf,0da72197e898ebe1,Ryan,,2cf24dba5fb0a30e,124a73193de90c3e,5
L01 Ryan,intro,Ryan_1_intro,2,line:c3d3da41,334d016f755cd6dc,Kobold,,2cf24dba5fb0a30e,124a73193de90c3e,5
L01 Ryan,intro,Ryan_1_intro,3,line:55e3dd36,dfba3eb46cb5fc14,Ryan,,acb8e8c1b2e11805,02352819218a02c6,8
L01 Ryan,intro,Ryan_1_intro,4,line:efb2d4af,30985c07d735bdc3,Ryan,,76eedf2381836535,c2c9b51965f3ff50,58
L01 Ryan,intro,Ryan_1_intro,5,line:7982d3d8,08c8207cff7cb565,Ryan,,b29a7e34b6ee25d0,4391c1194dc3f9eb,23
L01 Ryan,intro,Ryan_1_intro,6,line:da17b746,32cfb777c0a1ca30,Kobold,,7b8e9c31fdb23f6b,02b5ac190de3b573,17
L01 Ryan,intro,Ryan_1_intro,7,line:f676b9a8,eec1e26d3338868e,Kobold,,8496f4437ac3befe,c219a91945797d5d,25
L01 Ryan,intro,Ryan_1_intro,8,line:4c27b031,b8e3a13e8da1caf6,Ryan,,6e629ff25929d733,e3d18c190de8cb07,22
L01 Ryan,intro,Ryan_1_intro,9,line:6046bedf,84f325bca745e504,Ryan,,ee04228c5c6d8b08,cab8b71960fdf83c,9
L01 Ryan,intro,Ryan_1_intro,10,line:f15b014f,900e8c593033c189,Ryan,,44df1933351941eb,8213991945414df2,16
L01 Ryan,intro,Ryan_1_intro,11,line:676b0638,092808653667e9ff,Ryan,,5505b69b7421c1c6,c2b8e719e9f6dcd4,15
L01 Ryan,intro,Ryan_1_intro,12,line:82e2c158,0f3f0b7e817061e6,Kobold,,9f4c90466aa9166f,c2b9ac1945e3d032,34
L01 Ryan,intro,Ryan_1_intro,13,line:14d2c62f,b8a4a2d6c54c16d8,Kobold,,b825d7019d825226,b568851979a4cf55,3
L01 Ryan,intro,Ryan_1_intro,14,line:ae83cfb6,273533e355fd12cf,Ryan,,e48510d1ff85568d,331414192fb5ca2a,3
L01 Ryan,intro,Ryan_1_intro,15,line:38b3c8c1,3faa3f1d46e0e544,Kobold,,b1b6211dc6452565,4299801905eedcb6,30
L01 Ryan,intro,Ryan_1_intro,16,line:9b26ac5f,ce6db45f1866ad91,Ryan,,732769a0a9d9c753,c2d9e21944e1e5ac,32
L01 Ryan,intro,Ryan_1_intro,17,line:0d16ab28,425d9584e840b683,Ryan,,65d9642875ce779a,029982190dec86d2,26
L01 Ryan,phone,Ryan_1_PhoneTutorial,1,line:a99c515c,9bb3073cec0eb0c7,Phone,,11bd0b8f2165f689,c2dbb5196dfb041e,73
L01 Ryan,phone,Ryan_1_PhoneTutorial,2,line:ce77a00e,276bc2be4d36787f,Kobold,,54cb15f710622d8d,424021195d0e4c36,8
L01 Ryan,phone,Ryan_1_PhoneTutorial,3,line:5847a779,d3c6dd1cf6eefa2a,Kobold,,d0f7367f551c8fb5,e2bca5192dafb284,11
